Year,Quarter,Cash Price ($/bu),Beginning Stocks (Million bu),Ending Stocks,Exports,Imports,Total Supply,Total Disapearance,Total Domestic Use,Stocks-to-Use
1980,Q1 Sep-Nov,3.027,2034.3,6595.9,687.867,0.292,8673.988,2078.088,1390.221,3.174023429
1980,Q2 Dec-Feb,3.197,6595.9,4662.4,645.974,0.003,6595.903,1933.503,1287.529,2.411374588
1980,Q3 Mar-May,3.244,4662.4,2773.5,613.953,0.046,4662.446,1888.946,1274.993,1.468279136
1980,Q4 Jun-Aug,3.054,2773.5,1392.1,443.312,0.507,2774.007,1381.907,938.595,1.007376039
1981,Q1 Sep-Nov,2.424,1392.1,7601.1,519.079,0.11,9510.86,1909.76,1390.681,3.980133629
1981,Q2 Dec-Feb,2.468,7601.1,5766.4,470.223,0.159,7601.259,1834.859,1364.636,3.142693798
1981,Q3 Mar-May,2.532,5766.4,3880.1,595.839,0.04,5766.44,1886.34,1290.501,2.056946256
1981,Q4 Jun-Aug,2.467,3880.1,2536.6,411.62,0.247,3880.347,1343.747,932.127,1.88770654
1982,Q1 Sep-Nov,2.08,2536.6,8906.3,443.137,0.248,10771.949,1865.649,1422.512,4.773834735
1982,Q2 Dec-Feb,2.385,8906.3,6899.2,509.57,0.059,8906.359,2007.159,1497.589,3.437296198
1982,Q3 Mar-May,2.881,6899.2,4923.9,475.312,0.086,6899.286,1975.386,1500.074,2.492626758
1982,Q4 Jun-Aug,3.181,4923.9,3523.1,393.326,0.096,4923.996,1400.896,1007.57,2.51489047
1983,Q1 Sep-Nov,3.192,3523.1,5651.7,493.374,0.398,7697.749,2046.049,1552.675,2.762250562
1983,Q2 Dec-Feb,3.14,5651.7,3865,505.892,0.312,5652.012,1787.012,1281.12,2.162828229
1983,Q3 Mar-May,3.274,3865,2145.1,513.4,0.487,3865.487,1720.387,1206.987,1.246870617
1983,Q4 Jun-Aug,3.271,2145.1,1006.3,373.731,0.511,2145.611,1139.311,765.58,0.883253124
1984,Q1 Sep-Nov,2.652,1006.3,6631.1,503.245,0.723,8679.153,2048.053,1544.808,3.237758007
1984,Q2 Dec-Feb,2.612,6631.1,4623.2,580.416,0.083,6631.183,2007.983,1427.567,2.302409931
1984,Q3 Mar-May,2.683,4623.2,2835.5,474.727,0.849,4624.049,1788.549,1313.822,1.585363331
1984,Q4 Jun-Aug,2.561,2835.5,1648.2,291.863,0.078,2835.578,1187.378,895.515,1.388100504
1985,Q1 Sep-Nov,2.193,1648.2,8614.7,414.803,0.863,10524.516,1909.816,1495.013,4.510748679
1985,Q2 Dec-Feb,2.312,8614.7,6587.1,460.206,0.953,8615.653,2028.553,1568.347,3.247191471
1985,Q3 Mar-May,2.332,6587.1,4990.037,201.426,2.205,6589.305,1599.268,1397.842,3.120200617
1985,Q4 Jun-Aug,2.023,4990.037,4039.522,150.897,5.877,4995.914,956.392,805.495,4.223709525
1986,Q1 Sep-Nov,1.439,4039.522,10305.499,318.212,0.711,12265.997,1960.498,1642.286,5.256572055
1986,Q2 Dec-Feb,1.468,10305.499,8248.193,312.831,0.167,10305.666,2057.473,1744.642,4.008894892
1986,Q3 Mar-May,1.546,8248.193,6332.241,496.097,0.449,8248.642,1916.401,1420.304,3.304235909
1986,Q4 Jun-Aug,1.588,6332.241,4881.693,365.331,0.43,6332.671,1450.978,1085.647,3.364415587
1987,Q1 Sep-Nov,1.548,4881.693,9771.005,395.561,0.562,12013.555,2242.55,1846.989,4.357095717
1987,Q2 Dec-Feb,1.78,9771.005,7635.59,404.748,0.705,9771.71,2136.12,1731.372,3.574513604
1987,Q3 Mar-May,1.891,7635.59,5839.217,509.671,1.37,7636.96,1797.743,1288.072,3.248082179
1987,Q4 Jun-Aug,2.578,5839.217,4259.086,406.445,0.774,5839.991,1580.905,1174.46,2.694080922
1988,Q1 Sep-Nov,2.571,4259.086,7071.567,470.772,0.626,9188.393,2116.826,1646.054,3.340646326
1988,Q2 Dec-Feb,2.576,7071.567,5203.926,502.624,0.591,7072.158,1868.232,1365.608,2.785481675
1988,Q3 Mar-May,2.582,5203.926,3419.302,591.619,1.215,5205.141,1785.839,1194.22,1.914675399
1988,Q4 Jun-Aug,2.412,3419.302,1930.428,463.438,0.35,3419.652,1489.224,1025.786,1.296264363
1989,Q1 Sep-Nov,2.239,1930.428,7082.075,582.287,0.642,9463.023,2380.948,1798.661,2.974476973
1989,Q2 Dec-Feb,2.303,7082.075,4812.421,681.624,0.439,7082.514,2270.093,1588.469,2.1199224
1989,Q3 Mar-May,2.49,4812.421,2843.208,600.76,0.619,4813.04,1969.832,1369.072,1.443375882
1989,Q4 Jun-Aug,2.585,2843.208,1344.457,502.632,0.202,2843.41,1498.953,996.321,0.8969307243
1990,Q1 Sep-Nov,2.196,1344.457,6940.289,382.805,0.885,9279.37,2339.081,1956.276,2.967100755
1990,Q2 Dec-Feb,2.271,6940.289,4788.974,470.669,0.275,6940.564,2151.59,1680.921,2.225783723
1990,Q3 Mar-May,2.4,4788.974,2991.957,453.738,0.783,4789.757,1797.8,1344.062,1.664232395
1990,Q4 Jun-Aug,2.303,2991.957,1521.245,419.419,1.472,2993.429,1472.184,1052.765,1.033325318
1991,Q1 Sep-Nov,2.312,1521.245,6547.316,421.074,6.481,9002.491,2455.175,2034.101,2.666741067
1991,Q2 Dec-Feb,2.399,6547.316,4560.985,361.689,4.405,6551.721,1990.736,1629.047,2.291104898
1991,Q3 Mar-May,2.488,4560.985,2738.551,371.458,5.404,4566.389,1827.838,1456.38,1.498246015
1991,Q4 Jun-Aug,2.313,2738.551,1100.311,429.696,3.347,2741.898,1641.587,1211.891,0.67027273
1992,Q1 Sep-Nov,2.039,1100.311,7906.363,487.514,1.258,10578.267,2671.904,2184.39,2.959074503
1992,Q2 Dec-Feb,2,7906.363,5678.215,463.042,1.039,7907.402,2229.187,1766.145,2.547213401
1992,Q3 Mar-May,2.129,5678.215,3709.443,411.291,1.999,5680.214,1970.771,1559.48,1.882229341
1992,Q4 Jun-Aug,2.191,3709.443,2112.981,301.431,2.795,3712.238,1599.257,1297.826,1.32122667
1993,Q1 Sep-Nov,2.337,2112.981,5936.548,435.41,5.209,8455.92,2519.372,2083.962,2.356360236
1993,Q2 Dec-Feb,2.711,5936.548,3995.714,329.995,7.954,5944.502,1948.788,1618.793,2.050358479
1993,Q3 Mar-May,2.674,3995.714,2359.881,269.849,6.274,4001.988,1642.107,1372.258,1.437105499
1993,Q4 Jun-Aug,2.338,2359.881,850.143,293.068,1.378,2361.259,1511.116,1218.048,0.5625928122
1994,Q1 Sep-Nov,2.053,850.143,8080.48,449.304,2.06,10902.723,2822.243,2372.939,2.863141126
1994,Q2 Dec-Feb,2.184,8080.48,5591.693,590.435,3.739,8084.219,2492.526,1902.091,2.243384021
1994,Q3 Mar-May,2.354,5591.693,3414.896,568.162,3.003,5594.696,2179.8,1611.638,1.566609781
1994,Q4 Jun-Aug,2.593,3414.896,1557.84,569.581,0.755,3415.651,1857.811,1288.23,0.8385352439
1995,Q1 Sep-Nov,2.796,1557.84,6105.774,660.421,3.648,8961.539,2855.765,2195.344,2.138051976
1995,Q2 Dec-Feb,3.154,6105.774,3799.541,562.181,4.962,6110.736,2311.195,1749.014,1.64397249
1995,Q3 Mar-May,3.764,3799.541,1717.894,609.72,5.022,3804.563,2086.669,1476.949,0.8232709644
1995,Q4 Jun-Aug,4.312,1717.894,425.942,395.502,2.855,1720.749,1294.807,899.305,0.328961768
1996,Q1 Sep-Nov,2.874,425.942,6902.974,486.531,3.438,9661.937,2758.963,2272.432,2.502017606
1996,Q2 Dec-Feb,2.663,6902.974,4494.128,524.718,2.35,6905.324,2411.196,1886.478,1.863858434
1996,Q3 Mar-May,2.768,4494.128,2496.55,432.858,3.719,4497.847,2001.297,1568.439,1.247466018
1996,Q4 Jun-Aug,2.49,2496.55,883.161,353.262,3.754,2500.304,1617.143,1263.881,0.546124245
1997,Q1 Sep-Nov,2.525,883.161,7246.756,380.087,2.205,10092.198,2845.442,2465.355,2.546794487
1997,Q2 Dec-Feb,2.547,7246.756,4939.898,379.901,0.986,7247.742,2307.844,1927.943,2.140481766
1997,Q3 Mar-May,2.447,4939.898,3039.757,350.322,3.607,4943.505,1903.748,1553.426,1.59672236
1997,Q4 Jun-Aug,2.117,3039.757,1307.803,394.116,2.012,3041.769,1733.966,1339.85,0.7542264381
1998,Q1 Sep-Nov,1.9,1307.803,8051.846,450.219,4.025,11070.513,3018.667,2568.448,2.667351516
1998,Q2 Dec-Feb,2.042,8051.846,5698.428,465.082,5.716,8057.562,2359.134,1894.052,2.415474492
1998,Q3 Mar-May,2.038,5698.428,3616.225,497.353,7.235,5705.663,2089.438,1592.085,1.730716585
1998,Q4 Jun-Aug,1.803,3616.225,1786.977,571.539,1.83,3618.055,1831.078,1259.539,0.9759152805
1999,Q1 Sep-Nov,1.71,1786.977,8039.443,535.017,3.547,11221.136,3181.693,2646.676,2.526781497
1999,Q2 Dec-Feb,1.905,8039.443,5601.895,465.1,3.403,8042.846,2440.951,1975.851,2.294964135
1999,Q3 Mar-May,2.049,5601.895,3585.938,451.148,5.515,5607.41,2021.472,1570.324,1.77392415
1999,Q4 Jun-Aug,1.644,3585.938,1717.549,485.301,2.279,3588.217,1870.668,1385.367,0.9181474211
